indicator,theta
x0,-11.970643391292612
irst_a,-1.2263185091160231
milex_a,-1.9969184959555468
milper_a,2.4094118733931866
tpop_a,0.7630116380624337
upop_a,-0.8311457706805159
irst_b,-1.9292436787317557
milex_b,-0.4702790058701569
milper_b,2.5386086617366677
tpop_b,-0.9342746907770492
upop_b,0.7321288492839242
milex_ratio,-3.9272416715846132
tpop_ratio,-18.025862332590247
defense,-2.690361710146072
neutrality,3.9562464019530843
nonaggression,0.2564283843913301
entente,-3.3526405043576557
any_alliance,-0.6501223666358094
smoothflow1,-1.5757909666217278
smoothflow2,1.0198659360327258
smoothtotrade,-0.44434586141190874
conttype,-14.033112006417149
is_contiguous,17.727778389676303
land_contiguous,-10.461125818754832
irst_ratio,-2.1095666139117633
